model,accuracy,precision,recall,f1_score
logistic_regression,0.8792426917794781,0.8944575784039783,0.8792426917794781,0.8857288361942637
naive_bayes,0.8783598195016676,0.8809435549770535,0.8783598195016676,0.859737741789997
svm,0.8966058465764175,0.8920547648848801,0.8966058465764175,0.8936818294402276
